site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,trait,fl.count.sharp,dev.seed.sharp,undev.seed.sharp,weight.sharp,dev.seed.rest,undev.seed,weight.rest,
WG3C,manip,south,Potentilla,29,H,open-hand,7/29/19,,,,,,,,,,19,,0.004,42,,0.014,
WG3C,manip,south,Potentilla,4,F,open,7/25/19,,20,,,,,,,,,,,108,,0.036,
WG3C,manip,south,Potentilla,8,J,open,7/25/19,,,,,,,,,,,,,238,,0.089,
WG3C,manip,south,Potentilla,10,H,open,7/29/19,,,,,,,,,,,,,12,,0,
WG3C,manip,south,Potentilla,13,H,open,7/25/19,,17,,,,,,,,,,,202,,0.054,
WG3C,manip,south,Potentilla,16,P,open,,7/25/19,,,,,,,,,,,,34,,0.025,
WG3C,manip,south,Potentilla,21,P,open,7/25/19,,,,,,,,,,,,,557,,0.184,
WG3C,manip,south,Potentilla,28,D,open,7/29/19,,,,,,,,,,,,,30,,0.024,
WG3C,manip,south,Potentilla,29,J,open,7/25/19,,,,,,,,,,,,,113,,0.041,
WG3C,control,north,Potentilla,3,A,open-hand,7/25/19,,,,,,,,,4,58,,0.018,204,,0.102,
WG3C,control,north,Potentilla,5,H,open-hand,7/29/19,8/2/19,,,,,,,,,,,,21,,0.002,1 sharp mixed in
WG3C,control,north,Potentilla,6,A,open-hand,7/29/19,,,,,,,,,2,25,,0.008,0,,0,
WG3C,control,north,Potentilla,13,C,open-hand,7/25/19,,,,,,,,,,,,,123,,0.061,
WG3C,control,north,Potentilla,14,N,open-hand,7/25/19,,,,,,,,,,,,,112,,0.02,
WG3C,control,north,Potentilla,16,I,open-hand,7/29/19,8/6/19,,,,,,,,,,,,66,,0.012,
WG3C,control,north,Potentilla,18,I,open-hand,,8/6/19,13,,,,,,,8,171,,0.034,81,,0.036,
WG3C,control,north,Potentilla,14,G,open-hand,7/29/19,,,,,,,,,,,,,55,,0.013,
WG3C,control,north,Potentilla,3,E,open,7/25/19,,,,,,,,,,,,,128,,0.083,
WG3C,control,north,Potentilla,5,K,open,,,,,,,,,,,,,,0,,0,
WG3C,control,north,Potentilla,6,F,open,7/29/19,,,,,,,,,,,,,19,,0.001,
WG3C,control,north,Potentilla,13,K,open,7/25/19,,,,,,,,,,,,,0,,0,
WG3C,control,north,Potentilla,14,O,open,7/25/19,8/6/19,6,,,,,,,,,,,48,,0.01,
WG3C,control,north,Potentilla,17,L,open,,,,,,,,,,,,,,45,,0.005,
WG3C,control,north,Potentilla,18,J,open,7/25/19,,,,,,,,,,,,,170,,0.054,
WG3C,control,north,Potentilla,13,E,open,7/29/19,,,,,,,,,,,,,0,,0,
AveryPicnic,manip,north,Potentilla,9,N,open,,,,,,,,,,,,,,118,,0.035,
AveryPicnic,control,south,Potentilla,10,D,open-hand,,,,,,,,,,,,,,326,,0.065,
AveryPicnic,manip,north,Potentilla,3,B,open,,,,,,,,,,,,,,78,,0.017,
Pfieler,control,south,Potentilla,24,J,open-hand,,,,,,,,,,,,,,64,,0.008,
Pfieler,control,south,Potentilla,2,I,open,,,,,,,,,,,,,,97,,0.018,
Pfieler,control,south,Potentilla,30,B,open,,,,,,,,,,,,,,32,,0.006,
Pfieler,control,south,Potentilla,5,F,,,,,,,,,,,,,,,116,,0.038,
Pfieler,control,south,Potentilla,28,J,open-hand,,,,,,,,,,,,,,102,,0.026,
RustlersGulch,control,south,Potentilla,27,N,open,,,,,,,,,,,,,,44,,0.007,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
